背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
8,中村　奨吾,.220,137,584,508,112,11,48,3,52,7,89,13,20,.299,.331,.630,3.00,3.10
22,ポランコ,.242,125,497,447,108,26,75,0,47,0,92,0,3,.312,.450,.762,5.06,5.17
51,山口　航輝,.235,115,474,421,99,14,57,0,43,5,122,0,7,.310,.385,.695,4.14,4.23
5,安田　尚憲,.238,122,472,416,99,9,43,2,49,2,95,0,10,.318,.361,.678,3.96,4.04
4,藤岡　裕大,.277,93,380,310,86,1,22,7,54,4,66,10,4,.389,.352,.741,5.45,5.31
25,岡　大海,.282,109,372,319,90,7,33,15,37,8,56,8,5,.371,.417,.788,5.77,5.58
1,藤原　恭大,.238,103,361,328,78,3,21,5,18,4,78,10,3,.285,.323,.608,3.11,3.09
32,佐藤　都志也,.218,103,278,239,52,4,22,0,22,3,45,12,4,.289,.326,.616,2.95,3.05
3,角中　勝也,.296,86,244,216,64,9,39,1,21,1,43,3,0,.357,.505,.861,6.86,6.70
27,田村　龍弘,.166,78,214,181,30,2,19,0,13,2,38,15,3,.226,.215,.442,1.10,1.41
10,友杉　篤輝,.254,64,209,185,47,0,9,9,9,0,31,14,1,.287,.292,.579,2.89,2.86
0,荻野　貴司,.240,50,203,183,44,1,19,1,11,6,16,1,4,.302,.311,.613,3.24,3.29
67,茶谷　健太,.284,79,187,169,48,0,9,2,11,2,26,4,2,.333,.331,.665,4.18,4.08
13,平沢　大河,.170,57,170,135,23,3,8,3,25,3,43,6,4,.311,.244,.555,2.52,2.83
72,ブロッソー,.191,37,147,136,26,1,11,0,2,4,30,0,1,.218,.287,.504,1.84,2.22
50,石川　慎吾,.348,44,118,112,39,2,10,0,6,0,20,0,2,.381,.455,.837,6.66,6.18
00,池田　来翔,.269,40,118,104,28,2,8,0,6,3,17,5,1,.327,.404,.731,4.67,4.49
63,和田　康士朗,.265,80,113,98,26,3,9,20,9,3,32,3,0,.345,.439,.784,6.78,6.58
44,井上　晴哉,.179,32,106,95,17,1,8,1,9,1,24,0,2,.255,.274,.528,2.08,2.25
99,柿沼　友哉,.103,18,38,29,3,0,1,0,3,1,6,5,0,.212,.103,.316,0.35,0.58
39,大下　誠一郎,.227,23,28,22,5,1,2,0,2,3,7,1,0,.370,.364,.734,4.42,4.65
57,小川　龍成,.150,52,24,20,3,0,1,3,1,0,7,3,0,.190,.200,.390,-0.02,0.20
2,松川　虎生,.188,9,18,16,3,0,1,0,1,0,4,1,1,.235,.188,.423,0.44,0.56
31,菅野　剛士,.100,6,11,10,1,0,0,0,1,0,2,0,0,.182,.100,.282,-0.27,0.03
53,江村　直也,.000,4,10,9,0,0,0,0,0,0,2,1,1,.000,.000,.000,-2.98,-2.85
7,福田　秀平,.250,3,9,8,2,0,0,1,1,0,3,0,0,.333,.250,.583,4.29,4.32
61,山本　大斗,.143,2,7,7,1,0,0,0,0,0,4,0,1,.143,.143,.286,-1.79,-1.70
45,植田　将太,.000,4,3,3,0,0,0,0,0,0,2,0,0,.000,.000,.000,-2.84,-2.61
23,三木　亮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,髙部　瑛斗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,福田　光輝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,西川　僚祐,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,金田　優太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-