背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
14,小島　和哉,3.47,25,10,6,0,0,.625,657,158.1,143,14,57,6,114,64,61,1.26,4.02
16,種市　篤暉,3.42,23,10,7,0,0,.588,571,136.2,124,12,45,7,157,56,52,1.24,3.08
29,西野　勇士,2.69,18,8,5,0,0,.615,464,117.0,109,4,23,4,92,39,35,1.13,2.68
42,メルセデス,3.33,22,4,8,1,0,.333,483,116.1,111,8,36,2,58,46,43,1.26,4.00
15,美馬　学,4.76,18,3,9,0,0,.250,429,98.1,106,13,32,3,67,55,52,1.40,4.51
17,佐々木　朗希,1.78,15,7,4,0,0,.636,345,91.0,51,1,17,5,135,19,18,0.75,1.02
52,益田　直也,3.71,58,2,5,36,13,.286,222,53.1,49,9,14,1,54,23,22,1.18,4.08
55,ペルドモ,2.13,53,1,3,1,41,.250,209,50.2,49,1,15,0,41,15,12,1.26,2.65
41,カスティーヨ,3.12,12,3,3,0,1,.500,200,49.0,52,2,3,2,34,18,17,1.12,2.57
36,坂本　光士郎,3.21,51,1,0,0,16,1.000,209,47.2,46,5,22,2,48,18,17,1.43,3.79
40,西村　天裕,1.25,44,4,0,0,14,1.000,174,43.1,28,2,16,1,41,7,6,1.02,3.00
60,横山　陸人,5.26,38,2,3,1,8,.400,172,39.1,41,3,18,1,42,25,23,1.50,3.27
24,東妻　勇輔,2.91,36,0,1,0,11,.000,141,34.0,29,3,12,1,28,11,11,1.21,3.77
54,澤村　拓一,4.91,34,4,3,3,14,.571,148,33.0,33,6,18,1,24,18,18,1.55,5.57
62,森　遼大朗,6.00,7,1,4,0,0,.200,153,33.0,41,3,10,2,29,23,22,1.55,3.64
46,岩下　大輝,2.93,27,1,0,0,3,1.000,130,30.2,25,2,14,1,28,11,10,1.27,3.32
48,中村　稔弥,2.31,17,3,1,0,0,.750,99,23.1,22,0,6,1,19,6,6,1.20,2.39
56,中森　俊介,3.54,13,3,2,0,0,.600,86,20.1,17,2,8,3,10,8,8,1.23,4.74
66,澤田　圭佑,1.08,17,2,0,2,6,1.000,63,16.2,11,1,6,0,18,2,2,1.02,2.82
47,鈴木　昭汰,2.76,13,0,0,0,0,.000,67,16.1,12,2,7,0,13,8,5,1.16,4.41
30,廣畑　敦也,5.73,8,1,1,0,0,.500,50,11.0,14,1,5,0,11,7,7,1.73,3.39
34,高野　脩汰,1.64,7,0,0,0,0,.000,45,11.0,9,1,5,0,8,4,2,1.27,4.21
20,東條　大樹,7.45,11,0,0,1,2,.000,45,9.2,12,1,5,0,10,9,8,1.76,3.95
37,小野　郁,4.66,10,0,1,0,4,.000,41,9.2,9,0,3,1,6,5,5,1.24,3.12
19,唐川　侑己,7.04,6,0,1,0,1,.000,37,7.2,15,1,1,0,2,6,6,2.09,4.69
50,小沼　健太,9.00,4,0,0,0,0,.000,34,7.0,9,1,3,1,4,7,7,1.71,5.55
49,本前　郁也,3.60,1,0,0,0,0,.000,22,5.0,4,1,4,0,5,2,2,1.60,6.12
28,菊地　吏玖,2.25,1,0,1,0,0,.000,22,4.0,7,1,3,0,0,4,1,2.50,8.62
92,国吉　佑樹,0.00,3,0,0,0,0,.000,13,3.2,1,0,2,0,2,0,0,0.82,3.67
33,八木　彬,18.00,3,0,0,0,0,.000,20,3.0,9,1,2,0,2,6,6,3.67,8.12
11,佐々木　千隼,3.00,2,0,0,0,0,.000,15,3.0,6,0,0,1,0,2,1,2.00,4.12
12,石川　歩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,二木　康太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,田中　晴也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,秋山　正雲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,河村　説人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,佐藤　奨真,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,土居　豪人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-