背番号,選手名,防御率,試合,勝利,敗北,セ-ブ,ホ-ルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
29,石川　柊太,4.15,23,4,8,0,0,.333,550,125.2,108,15,61,8,119,63,58,1.34,4.38
17,有原　航平,2.31,17,10,5,0,0,.667,490,120.2,105,13,25,7,74,40,31,1.08,4.06
42,大関　友久,2.92,17,5,7,0,0,.417,427,104.2,86,11,35,6,76,36,34,1.16,4.21
21,和田　毅,3.24,21,8,6,0,0,.571,414,100.0,89,10,29,3,85,39,36,1.18,3.68
16,東浜　巨,4.52,17,6,7,0,0,.462,428,99.2,114,6,24,0,73,50,50,1.38,3.16
50,板東　湧梧,3.04,30,5,4,0,1,.556,349,83.0,73,5,34,3,58,32,28,1.29,3.84
2,スチュワート・ジュニア,3.38,14,3,6,0,0,.333,344,77.1,70,7,42,1,67,31,29,1.45,4.19
48,藤井　皓哉,2.33,34,5,3,0,9,.625,288,69.2,46,3,33,7,84,21,18,1.13,2.95
54,オスナ,0.92,49,3,2,26,12,.600,170,49.0,28,3,6,0,42,5,5,0.69,2.51
11,津森　宥紀,3.51,56,4,4,0,22,.500,202,48.2,37,4,21,3,44,20,19,1.19,3.74
66,松本　裕樹,2.68,53,2,2,0,25,.500,189,47.0,32,5,17,0,60,16,14,1.04,2.97
18,武田　翔太,3.91,29,1,2,0,2,.333,197,46.0,45,1,19,2,38,20,20,1.39,3.12
20,甲斐野　央,2.53,46,3,1,2,8,.750,172,42.2,33,2,13,2,39,12,12,1.08,2.96
26,大津　亮介,2.43,46,2,0,0,13,1.000,164,40.2,34,5,11,2,21,14,11,1.11,4.57
56,田浦　文丸,2.38,45,2,1,0,7,.667,150,34.0,31,1,12,7,28,9,9,1.26,3.44
38,森　唯斗,4.60,6,2,3,0,0,.400,126,29.1,28,2,9,0,27,15,15,1.26,3.09
14,又吉　克樹,2.25,32,2,2,0,10,.500,113,28.0,21,2,10,2,15,7,7,1.11,4.26
35,モイネロ,0.98,27,3,0,5,13,1.000,97,27.2,11,0,5,0,37,3,3,0.58,0.77
39,尾形　崇斗,4.00,12,0,1,0,0,.000,75,18.0,18,3,3,1,15,11,8,1.17,4.29
27,ガンケル,5.82,5,0,1,0,0,.000,80,17.0,21,3,5,2,11,14,11,1.53,5.36
34,椎野　新,3.86,11,0,1,0,0,.000,73,16.1,17,1,9,0,17,9,7,1.59,3.12
57,嘉弥真　新也,5.25,23,1,0,0,7,1.000,56,12.0,16,1,6,1,7,7,7,1.83,4.79
28,高橋　礼,10.80,5,0,2,0,0,.000,63,11.2,23,3,6,1,2,14,14,2.49,7.92
67,笠谷　俊介,1.59,8,0,0,0,0,.000,47,11.1,8,0,8,0,11,2,2,1.41,3.30
63,古川　侑利,4.50,9,0,0,0,0,.000,42,10.0,12,3,1,0,11,5,5,1.30,5.12
49,松本　晴,7.11,3,0,1,0,0,.000,31,6.1,8,0,3,1,4,5,5,1.74,3.75
53,泉　圭輔,16.88,3,0,0,0,0,.000,17,2.2,4,1,3,2,2,5,5,2.63,12.12
61,ヘルナンデス,27.00,1,0,0,0,0,.000,7,0.2,3,1,1,1,1,2,2,6.00,28.62
1,風間　球打,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,杉山　一樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,髙橋　純平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,木村　大成,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,大野　稼頭央,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,木村　光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,田上　奏大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-